Restaurant Name,Near Place,Cuisine,Approx Cost for Two (INR),Latitude,Longitude
Mavalli Tiffin Rooms (MTR),Lalbagh Botanical Garden,South Indian,500,12.9538,77.5852
Koshy’s Restaurant,Cubbon Park,"Indian, Continental",800,12.975,77.5946
Byg Brewski Brewing Company,Bangalore Palace,"Brewery, Continental",2500,13.0045,77.5891
Karavalli,Bannerghatta National Park,"Seafood, South Indian",3000,12.8344,77.5773
Empire Restaurant,ISKCON Temple,North Indian,700,13.01,77.5505
Nandi Upachar,Nandi Hills,South Indian,600,13.3745,77.6842
Vidyaranya Mess,Tipu Sultan's Summer Palace,Karnataka Meals,300,12.9605,77.574
Exotica Bar & Restaurant,Wonderla Amusement Park,"North Indian, Bar",1200,12.835,77.4022
Shao - Radisson Blu,UB City Mall,"Chinese, Asian",3500,12.9725,77.5978
Truffles,Visvesvaraya Industrial Museum,"American, Cafe",1000,12.9769,77.5901
Chung Wah,Jawaharlal Nehru Planetarium,Chinese,800,12.9849,77.5893
Windmills Craftworks,HAL Aerospace Museum,"Brewery, Continental",2000,12.9626,77.6797
Sana-di-ge,Innovative Film City,"Seafood, Mangalorean",2200,12.7989,77.4055
Rasovara,Art of Living International Center,"Rajasthani, Gujarati",1500,12.8011,77.5158
Toit Brewpub,MG Road,"Brewery, European",2500,12.9719,77.606
Shivaji Military Hotel,Commercial Street,Military (Spicy Non-Veg),800,12.9815,77.6065
Fishland,Hebbal Lake,"Seafood, North Indian",900,13.0397,77.5912
Meghana Foods,Ulsoor Lake,"Andhra, Biryani",800,12.985,77.6271
Barbeque Nation,Phoenix Marketcity,"Buffet, Barbecue",1800,13.0089,77.6963
Chulha Chauki Da Dhaba,Orion Mall,"North Indian, Dhaba Style",700,13.012,77.5555
