Name,Type,Activities,Entry Fee,Timings,Latitude,Longitude
Lalbagh Botanical Garden,Garden & Park,"Walking, Photography",50,6:00 AM – 7:00 PM,12.9507,77.5848
Cubbon Park,Garden & Park,"Jogging, Picnics, Photography",0,6:00 AM – 6:00 PM,12.9763,77.5929
Bangalore Palace,Palace,"Museum Tour, Photography",230,10:00 AM – 5:30 PM,13.0034,77.588
Bannerghatta National Park,Wildlife Park,"Safari, Zoo Visit, Butterfly Park",80,9:30 AM – 5:00 PM,12.8,77.577
ISKCON Temple,Temple,"Worship, Cultural Programs",0,4:15 AM – 8:30 PM,13.0107,77.55
Nandi Hills,Hill Station,"Trekking, Sunrise Viewing, Cycling",5,6:00 AM – 6:00 PM,13.3702,77.6835
Tipu Sultan's Summer Palace,Historical Monument,"Museum Tour, Historical Exploration",15,8:30 AM – 5:30 PM,12.9598,77.5736
Wonderla Amusement Park,Amusement Park,"Water Rides, Thrill Rides, Entertainment",890,11:00 AM – 6:00 PM,12.8342,77.4019
UB City Mall,Shopping & Dining,"Luxury Shopping, Fine Dining",0,11:00 AM – 11:00 PM,12.9716,77.5963
Visvesvaraya Industrial Museum,Museum,"Interactive Exhibits, Science Education",50,9:30 AM – 6:00 PM,12.9764,77.5907
Jawaharlal Nehru Planetarium,Planetarium,"Sky Shows, Astronomy Education",50,10:30 AM – 5:30 PM,12.9847,77.5897
HAL Aerospace Museum,Museum,"Aviation History, Aircraft Display",50,9:00 AM – 5:00 PM,12.9558,77.6793
Innovative Film City,Theme Park,"Theme Rides, Studio Tours",600,10:00 AM – 7:00 PM,12.7986,77.4058
Art of Living International Center,Ashram & Meditation,"Yoga, Meditation, Nature Walks",0,9:00 AM – 6:00 PM,12.8007,77.5155
MG Road,Shopping Street,"Shopping, Dining",0,10:00 AM – 9:00 PM,12.9756,77.605
Commercial Street,Shopping Street,"Shopping, Dining",0,10:00 AM – 9:00 PM,12.9822,77.6055
Hebbal Lake,Lake,"Bird Watching, Boating",0,6:00 AM – 6:00 PM,13.0392,77.5917
Ulsoor Lake,Lake,"Boating, Walking",0,6:00 AM – 6:00 PM,12.9843,77.6266
Phoenix Marketcity,Shopping Mall,"Shopping, Dining",0,10:00 AM – 10:00 PM,13.0087,77.6959
Orion Mall,Shopping Mall,"Shopping, Dining",0,10:00 AM – 10:00 PM,13.0116,77.5549
